                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0446,                 2.8841,                 1.1478,                0.25207,                0.07113,                0.04336,                0.02225,                 1.8506,                 3.9549,                 1.0407,             0.00017136,             0.00017136,             0.00017136
                      2,                 2.0084,                 1.7652,                 1.0753,                0.32571,                 0.0611,                0.06042,                0.03234,                 1.7304,                 3.4845,                 1.0061,             0.00034293,             0.00034293,             0.00034293
                      3,                 1.9003,                  1.615,                 1.0681,                0.41953,                 0.1359,                0.09361,                0.04948,                 1.7138,                 1.9912,                 1.0053,             0.00050744,             0.00050744,             0.00050744
                      4,                 1.8979,                  1.507,                 1.0587,                0.44613,                0.16156,                0.12125,                0.06192,                 1.7155,                 1.7555,                 1.0162,             0.00066487,             0.00066487,             0.00066487
                      5,                 1.8999,                 1.4748,                 1.0421,                0.37828,                0.15658,                0.13428,                0.07057,                 1.7363,                 1.7235,                 1.0182,             0.00065745,             0.00065745,             0.00065745
                      6,                   1.93,                 1.4327,                  1.038,                0.35478,                0.15865,                0.12613,                0.06508,                 1.7933,                 1.7152,                 1.0258,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.9516,                 1.4508,                 1.0535,                0.26143,                0.16418,                0.13465,                0.07107,                 1.6659,                  1.627,                0.99816,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.8104,                 1.3598,                 1.0236,                0.19964,                0.18691,                0.14674,                0.07811,                 1.6796,                 1.5437,                 1.0047,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.8547,                 1.3423,                   1.03,                0.17747,                0.19476,                0.15016,                0.07759,                   1.69,                 1.6446,                 1.0062,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.7889,                 1.3109,                 1.0298,                0.20135,                0.18926,                0.15606,                0.08348,                 1.6309,                 1.5111,                0.99503,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.8135,                 1.2907,                 1.0126,                0.19003,                0.17618,                0.14042,                0.07032,                 1.7971,                 1.6045,                 1.0181,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.7896,                 1.3044,                 1.0177,                0.22277,                0.21043,                 0.1571,                0.08187,                 1.7081,                 1.5432,                 1.0134,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.7924,                 1.2736,                 1.0134,                 0.2402,                0.19431,                0.16807,                0.08961,                 1.6345,                 1.4771,                0.99452,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.7475,                 1.1964,                0.99848,                0.25216,                0.20238,                0.17253,                0.09257,                 1.6511,                 1.4526,                0.99333,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.7656,                 1.1823,                 1.0017,                0.25451,                0.21227,                0.17906,                0.09521,                 1.6145,                 1.4429,                0.98298,             0.00053022,             0.00053022,             0.00053022
                     16,                   1.79,                 1.2139,                 1.0013,                0.26516,                0.21042,                0.17875,                0.09269,                 1.6697,                 1.4422,                0.99418,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.7583,                 1.1938,                0.98808,                0.24628,                0.21081,                0.17825,                0.09758,                 1.6378,                 1.4287,                0.99318,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.7345,                 1.1521,                 1.0021,                0.24706,                0.22235,                0.18221,                0.09852,                  1.636,                 1.4174,                0.99183,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.7548,                 1.1663,                0.99338,                0.23802,                0.20254,                0.16962,                0.09179,                 1.6513,                 1.4503,                0.98708,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.6774,                 1.1435,                0.97806,                0.24368,                0.21406,                0.17396,                0.09343,                 1.6525,                 1.4306,                0.98977,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.6546,                 1.1204,                0.99224,                0.23324,                0.23843,                0.17733,                0.09603,                 1.6141,                 1.5099,                0.99056,             0.00044539,             0.00044539,             0.00044539
                     22,                  1.705,                 1.1562,                0.98517,                0.30178,                0.21419,                0.18952,                 0.1001,                 1.6491,                 1.4238,                0.98685,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.6766,                 1.1308,                0.98191,                0.26995,                0.20526,                0.18483,                0.09844,                 1.6192,                 1.4103,                0.98535,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.7726,                 1.1259,                0.97361,                0.25324,                0.22536,                0.18789,                0.10028,                 1.6094,                 1.3996,                0.98733,             0.00040298,             0.00040298,             0.00040298
                     25,                  1.649,                 1.0571,                0.97755,                0.28991,                0.21875,                0.18981,                0.10131,                 1.6332,                 1.3964,                0.98587,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.6377,                 1.0512,                 0.9617,                0.26819,                0.22371,                0.18893,                0.10031,                 1.6257,                 1.3921,                0.98728,             0.00037471,             0.00037471,             0.00037471
